Source,Type,Target,Weight
War Machine ,Undirected,Star Lord ,1
War Machine ,Undirected,Gamora,1
War Machine ,Undirected,Ned,1
War Machine ,Undirected,The Collector,1
War Machine ,Undirected,Mantis,1
War Machine ,Undirected,Wong,1
War Machine ,Undirected,Shuri,1
War Machine ,Undirected,Proxima Midnight,1
War Machine ,Undirected,Eitri,1
Heimdall,Undirected,The Winter Soldier ,1
Heimdall,Undirected,Drax the Destroyer,1
Heimdall,Undirected,Black Panther ,1
Heimdall,Undirected,Rocket Raccoon,1
Heimdall,Undirected,Groot,1
Heimdall,Undirected,Nebula,1
Heimdall,Undirected,Kraglin ,1
Heimdall,Undirected,Spider-Man ,1
Heimdall,Undirected,Thaddeus Ross,1
Heimdall,Undirected,Ayo,1
Heimdall,Undirected,Star Lord ,1
Heimdall,Undirected,Gamora,1
Heimdall,Undirected,Ned,1
Heimdall,Undirected,The Collector,1
Heimdall,Undirected,M'Baku,1
Heimdall,Undirected,Okoye,1
Heimdall,Undirected,Mantis,1
Heimdall,Undirected,Wong,1
Heimdall,Undirected,Shuri,1
Heimdall,Undirected,Proxima Midnight,1
Heimdall,Undirected,Eitri,1
Loki,Undirected,The Winter Soldier ,1
Loki,Undirected,Falcon ,1
Loki,Undirected,Drax the Destroyer,1
Loki,Undirected,Black Panther ,1
Loki,Undirected,Thanos,1
Loki,Undirected,Rocket Raccoon,1
Loki,Undirected,Groot,1
Loki,Undirected,Nebula,1
Loki,Undirected,Kraglin ,1
Loki,Undirected,Spider-Man ,1
Loki,Undirected,Thaddeus Ross,1
Loki,Undirected,Ayo,1
Loki,Undirected,Scarlet Witch ,1
Loki,Undirected,Star Lord ,1
Loki,Undirected,Gamora,1
Loki,Undirected,Ned,1
Loki,Undirected,The Collector,1
Loki,Undirected,M'Baku,1
Loki,Undirected,Okoye,1
Loki,Undirected,Mantis,1
Loki,Undirected,Wong,1
Loki,Undirected,Shuri,1
Loki,Undirected,Proxima Midnight,1
Loki,Undirected,Eitri,1
The Hulk ,Undirected,The Winter Soldier ,1
The Hulk ,Undirected,Drax the Destroyer,1
The Hulk ,Undirected,Black Panther ,1
The Hulk ,Undirected,Groot,1
The Hulk ,Undirected,Kraglin ,1
The Hulk ,Undirected,Ayo,1
The Hulk ,Undirected,Star Lord ,1
The Hulk ,Undirected,Gamora,1
The Hulk ,Undirected,Ned,1
The Hulk ,Undirected,The Collector,1
The Hulk ,Undirected,Mantis,1
The Hulk ,Undirected,Wong,1
The Hulk ,Undirected,Shuri,1
The Hulk ,Undirected,Proxima Midnight,1
The Hulk ,Undirected,Eitri,1
The Winter Soldier ,Undirected,Drax the Destroyer,1
The Winter Soldier ,Undirected,Thanos,1
The Winter Soldier ,Undirected,Rocket Raccoon,1
The Winter Soldier ,Undirected,Dr. Strange ,1
The Winter Soldier ,Undirected,Groot,1
The Winter Soldier ,Undirected,Nebula,1
The Winter Soldier ,Undirected,Kraglin ,1
The Winter Soldier ,Undirected,Star Lord ,1
The Winter Soldier ,Undirected,Gamora,1
The Winter Soldier ,Undirected,Ned,1
The Winter Soldier ,Undirected,The Collector,1
The Winter Soldier ,Undirected,M'Baku,1
The Winter Soldier ,Undirected,Okoye,1
The Winter Soldier ,Undirected,Mantis,1
The Winter Soldier ,Undirected,Wong,1
The Winter Soldier ,Undirected,Shuri,1
The Winter Soldier ,Undirected,Proxima Midnight,1
The Winter Soldier ,Undirected,Eitri,1
Falcon ,Undirected,Drax the Destroyer,1
Falcon ,Undirected,Rocket Raccoon,1
Falcon ,Undirected,Dr. Strange ,1
Falcon ,Undirected,Groot,1
Falcon ,Undirected,Nebula,1
Falcon ,Undirected,Kraglin ,1
Falcon ,Undirected,Star Lord ,1
Falcon ,Undirected,Gamora,1
Falcon ,Undirected,Ned,1
Falcon ,Undirected,The Collector,1
Falcon ,Undirected,M'Baku,1
Falcon ,Undirected,Okoye,1
Falcon ,Undirected,Mantis,1
Falcon ,Undirected,Wong,1
Falcon ,Undirected,Shuri,1
Falcon ,Undirected,Proxima Midnight,1
Falcon ,Undirected,Eitri,1
Agent Maria Hill,Undirected,Drax the Destroyer,1
Agent Maria Hill,Undirected,Black Panther ,1
Agent Maria Hill,Undirected,Rocket Raccoon,1
Agent Maria Hill,Undirected,Dr. Strange ,1
Agent Maria Hill,Undirected,Groot,1
Agent Maria Hill,Undirected,Nebula,1
Agent Maria Hill,Undirected,Kraglin ,1
Agent Maria Hill,Undirected,Spider-Man ,1
Agent Maria Hill,Undirected,Thaddeus Ross,1
Agent Maria Hill,Undirected,Ayo,1
Agent Maria Hill,Undirected,Star Lord ,1
Agent Maria Hill,Undirected,Gamora,1
Agent Maria Hill,Undirected,Ned,1
Agent Maria Hill,Undirected,The Collector,1
Agent Maria Hill,Undirected,M'Baku,1
Agent Maria Hill,Undirected,Okoye,1
Agent Maria Hill,Undirected,Mantis,1
Agent Maria Hill,Undirected,Wong,1
Agent Maria Hill,Undirected,Shuri,1
Agent Maria Hill,Undirected,Proxima Midnight,1
Agent Maria Hill,Undirected,Eitri,1
Drax the Destroyer,Undirected,Black Panther ,1
Drax the Destroyer,Undirected,Dr. Strange ,1
Drax the Destroyer,Undirected,Spider-Man ,1
Drax the Destroyer,Undirected,Thaddeus Ross,1
Drax the Destroyer,Undirected,Ayo,1
Drax the Destroyer,Undirected,Scarlet Witch ,1
Drax the Destroyer,Undirected,Ned,1
Drax the Destroyer,Undirected,M'Baku,1
Drax the Destroyer,Undirected,Okoye,1
Drax the Destroyer,Undirected,Wong,1
Drax the Destroyer,Undirected,Shuri,1
Drax the Destroyer,Undirected,Proxima Midnight,1
Drax the Destroyer,Undirected,Eitri,1
Black Panther ,Undirected,Thanos,1
Black Panther ,Undirected,Rocket Raccoon,1
Black Panther ,Undirected,Dr. Strange ,1
Black Panther ,Undirected,Groot,1
Black Panther ,Undirected,Nebula,1
Black Panther ,Undirected,Kraglin ,1
Black Panther ,Undirected,Star Lord ,1
Black Panther ,Undirected,Gamora,1
Black Panther ,Undirected,Ned,1
Black Panther ,Undirected,The Collector,1
Black Panther ,Undirected,Mantis,1
Black Panther ,Undirected,Wong,1
Black Panther ,Undirected,Proxima Midnight,1
Black Panther ,Undirected,Eitri,1
Thanos,Undirected,Dr. Strange ,1
Thanos,Undirected,Thaddeus Ross,1
Thanos,Undirected,Ayo,1
Thanos,Undirected,Ned,1
Thanos,Undirected,Mantis,1
Thanos,Undirected,Wong,1
Thanos,Undirected,Shuri,1
Thanos,Undirected,Proxima Midnight,1
Thanos,Undirected,Eitri,1
Rocket Raccoon,Undirected,Dr. Strange ,1
Rocket Raccoon,Undirected,Thaddeus Ross,1
Rocket Raccoon,Undirected,Ayo,1
Rocket Raccoon,Undirected,Scarlet Witch ,1
Rocket Raccoon,Undirected,Ned,1
Rocket Raccoon,Undirected,Wong,1
Rocket Raccoon,Undirected,Shuri,1
Rocket Raccoon,Undirected,Proxima Midnight,1
Rocket Raccoon,Undirected,Eitri,1
Dr. Strange ,Undirected,Groot,1
Dr. Strange ,Undirected,Nebula,1
Dr. Strange ,Undirected,Kraglin ,1
Dr. Strange ,Undirected,Spider-Man ,1
Dr. Strange ,Undirected,Thaddeus Ross,1
Dr. Strange ,Undirected,Ayo,1
Dr. Strange ,Undirected,Scarlet Witch ,1
Dr. Strange ,Undirected,Star Lord ,1
Dr. Strange ,Undirected,Gamora,1
Dr. Strange ,Undirected,Ned,1
Dr. Strange ,Undirected,The Collector,1
Dr. Strange ,Undirected,M'Baku,1
Dr. Strange ,Undirected,Okoye,1
Dr. Strange ,Undirected,Mantis,1
Dr. Strange ,Undirected,Wong,1
Dr. Strange ,Undirected,Shuri,1
Dr. Strange ,Undirected,Proxima Midnight,1
Dr. Strange ,Undirected,Eitri,1
Groot,Undirected,Spider-Man ,1
Groot,Undirected,Thaddeus Ross,1
Groot,Undirected,Ayo,1
Groot,Undirected,Scarlet Witch ,1
Groot,Undirected,Ned,1
Groot,Undirected,M'Baku,1
Groot,Undirected,Okoye,1
Groot,Undirected,Wong,1
Groot,Undirected,Shuri,1
Groot,Undirected,Proxima Midnight,1
Groot,Undirected,Eitri,1
Nebula,Undirected,Thaddeus Ross,1
Nebula,Undirected,Ayo,1
Nebula,Undirected,Scarlet Witch ,1
Nebula,Undirected,Ned,1
Nebula,Undirected,Wong,1
Nebula,Undirected,Shuri,1
Nebula,Undirected,Proxima Midnight,1
Nebula,Undirected,Eitri,1
Kraglin ,Undirected,Spider-Man ,1
Kraglin ,Undirected,Thaddeus Ross,1
Kraglin ,Undirected,Ayo,1
Kraglin ,Undirected,Scarlet Witch ,1
Kraglin ,Undirected,Ned,1
Kraglin ,Undirected,M'Baku,1
Kraglin ,Undirected,Okoye,1
Kraglin ,Undirected,Wong,1
Kraglin ,Undirected,Shuri,1
Kraglin ,Undirected,Proxima Midnight,1
Kraglin ,Undirected,Eitri,1
Spider-Man ,Undirected,Star Lord ,1
Spider-Man ,Undirected,Gamora,1
Spider-Man ,Undirected,The Collector,1
Spider-Man ,Undirected,Mantis,1
Spider-Man ,Undirected,Wong,1
Spider-Man ,Undirected,Shuri,1
Spider-Man ,Undirected,Proxima Midnight,1
Spider-Man ,Undirected,Eitri,1
Thaddeus Ross,Undirected,Star Lord ,1
Thaddeus Ross,Undirected,Gamora,1
Thaddeus Ross,Undirected,Ned,1
Thaddeus Ross,Undirected,The Collector,1
Thaddeus Ross,Undirected,M'Baku,1
Thaddeus Ross,Undirected,Okoye,1
Thaddeus Ross,Undirected,Mantis,1
Thaddeus Ross,Undirected,Wong,1
Thaddeus Ross,Undirected,Shuri,1
Thaddeus Ross,Undirected,Proxima Midnight,1
Thaddeus Ross,Undirected,Eitri,1
Ayo,Undirected,Star Lord ,1
Ayo,Undirected,Gamora,1
Ayo,Undirected,Ned,1
Ayo,Undirected,The Collector,1
Ayo,Undirected,Mantis,1
Ayo,Undirected,Wong,1
Ayo,Undirected,Proxima Midnight,1
Ayo,Undirected,Eitri,1
Scarlet Witch ,Undirected,Star Lord ,1
Scarlet Witch ,Undirected,Gamora,1
Scarlet Witch ,Undirected,Ned,1
Scarlet Witch ,Undirected,The Collector,1
Scarlet Witch ,Undirected,M'Baku,1
Scarlet Witch ,Undirected,Okoye,1
Scarlet Witch ,Undirected,Mantis,1
Scarlet Witch ,Undirected,Wong,1
Scarlet Witch ,Undirected,Shuri,1
Scarlet Witch ,Undirected,Proxima Midnight,1
Scarlet Witch ,Undirected,Eitri,1
Star Lord ,Undirected,Ned,1
Star Lord ,Undirected,M'Baku,1
Star Lord ,Undirected,Okoye,1
Star Lord ,Undirected,Wong,1
Star Lord ,Undirected,Shuri,1
Star Lord ,Undirected,Proxima Midnight,1
Star Lord ,Undirected,Eitri,1
Gamora,Undirected,Ned,1
Gamora,Undirected,M'Baku,1
Gamora,Undirected,Okoye,1
Gamora,Undirected,Wong,1
Gamora,Undirected,Shuri,1
Gamora,Undirected,Proxima Midnight,1
Gamora,Undirected,Eitri,1
Ned,Undirected,The Collector,1
Ned,Undirected,M'Baku,1
Ned,Undirected,Okoye,1
Ned,Undirected,Mantis,1
Ned,Undirected,Wong,1
Ned,Undirected,Shuri,1
Ned,Undirected,Proxima Midnight,1
Ned,Undirected,Eitri,1
The Collector,Undirected,M'Baku,1
The Collector,Undirected,Okoye,1
The Collector,Undirected,Mantis,1
The Collector,Undirected,Wong,1
The Collector,Undirected,Shuri,1
The Collector,Undirected,Proxima Midnight,1
The Collector,Undirected,Eitri,1
M'Baku,Undirected,Mantis,1
M'Baku,Undirected,Wong,1
M'Baku,Undirected,Proxima Midnight,1
M'Baku,Undirected,Eitri,1
Okoye,Undirected,Mantis,1
Okoye,Undirected,Wong,1
Okoye,Undirected,Proxima Midnight,1
Okoye,Undirected,Eitri,1
Mantis,Undirected,Wong,1
Mantis,Undirected,Shuri,1
Mantis,Undirected,Proxima Midnight,1
Mantis,Undirected,Eitri,1
Wong,Undirected,Shuri,1
Wong,Undirected,Proxima Midnight,1
Wong,Undirected,Eitri,1
Shuri,Undirected,Proxima Midnight,1
Shuri,Undirected,Eitri,1
Proxima Midnight,Undirected,Eitri,1
Thor,Undirected,Algrim/Kurse,1
Thor,Undirected,Malekith,1
Heimdall,Undirected,Algrim/Kurse,1
Heimdall,Undirected,Malekith,1
Loki,Undirected,Algrim/Kurse,1
Loki,Undirected,Malekith,1
Dr. Erik Selvig,Undirected,Fandral,1
Dr. Erik Selvig,Undirected,Algrim/Kurse,1
Dr. Erik Selvig,Undirected,Malekith,1
Hogun,Undirected,Algrim/Kurse,1
Hogun,Undirected,Malekith,1
Odin,Undirected,Algrim/Kurse,1
Odin,Undirected,Malekith,1
Volstagg,Undirected,Algrim/Kurse,1
Volstagg,Undirected,Malekith,1
Sif,Undirected,Fandral,1
Sif,Undirected,Algrim/Kurse,1
Sif,Undirected,Malekith,1
Darcy Lewis,Undirected,Fandral,1
Darcy Lewis,Undirected,Algrim/Kurse,1
Darcy Lewis,Undirected,Malekith,1
Fandral,Undirected,Jane Foster,1
Fandral,Undirected,Frigga,1
Fandral,Undirected,Algrim/Kurse,1
Fandral,Undirected,Malekith,1
Jane Foster,Undirected,Algrim/Kurse,1
Jane Foster,Undirected,Malekith,1
Frigga,Undirected,Algrim/Kurse,1
Frigga,Undirected,Malekith,1
Algrim/Kurse,Undirected,Malekith,1
Nick Fury,Undirected,Hogun,1
Nick Fury,Undirected,Odin,1
Nick Fury,Undirected,Volstagg,1
Nick Fury,Undirected,Sif,1
Nick Fury,Undirected,Darcy Lewis,1
Nick Fury,Undirected,Jane Foster,1
Nick Fury,Undirected,Frigga,1
Nick Fury,Undirected,King Laufey,1
Thor,Undirected,King Laufey,1
Heimdall,Undirected,King Laufey,1
Loki,Undirected,King Laufey,1
Dr. Erik Selvig,Undirected,King Laufey,1
Hawkeye ,Undirected,Hogun,1
Hawkeye ,Undirected,Odin,1
Hawkeye ,Undirected,Volstagg,1
Hawkeye ,Undirected,Sif,1
Hawkeye ,Undirected,Darcy Lewis,1
Hawkeye ,Undirected,Jane Foster,1
Hawkeye ,Undirected,Frigga,1
Hawkeye ,Undirected,King Laufey,1
Hogun,Undirected,King Laufey,1
Odin,Undirected,King Laufey,1
Volstagg,Undirected,King Laufey,1
Sif,Undirected,King Laufey,1
Darcy Lewis,Undirected,King Laufey,1
Jane Foster,Undirected,King Laufey,1
Frigga,Undirected,King Laufey,1
Nick Fury,Undirected,Colonel Chester Phillips,1
Captain America ,Undirected,Colonel Chester Phillips,1
The Winter Soldier ,Undirected,Colonel Chester Phillips,1
Agent Peggy Carter,Undirected,Colonel Chester Phillips,1
Arnim Zola,Undirected,Colonel Chester Phillips,1
Iron Man ,Undirected,Obadiah Stane,1
Iron Man ,Undirected,"James ""Rhodey"" Rhodes",1
Nick Fury,Undirected,Obadiah Stane,1
Nick Fury,Undirected,"James ""Rhodey"" Rhodes",1
Vision ,Undirected,Obadiah Stane,1
Vision ,Undirected,"James ""Rhodey"" Rhodes",1
Pepper Potts,Undirected,Obadiah Stane,1
Pepper Potts,Undirected,"James ""Rhodey"" Rhodes",1
Happy Hogan,Undirected,Obadiah Stane,1
Happy Hogan,Undirected,"James ""Rhodey"" Rhodes",1
Christine Everhart,Undirected,Obadiah Stane,1
Christine Everhart,Undirected,"James ""Rhodey"" Rhodes",1
Obadiah Stane,Undirected,"James ""Rhodey"" Rhodes",1
Scott Lang,Undirected,Bill Foster,1
Scott Lang,Undirected,Sonny Burch,1
Scott Lang,Undirected,Ghost ,1
Paxton,Undirected,Bill Foster,1
Paxton,Undirected,Sonny Burch,1
Paxton,Undirected,Ghost ,1
Kurt,Undirected,Bill Foster,1
Kurt,Undirected,Sonny Burch,1
Kurt,Undirected,Ghost ,1
Hank Pym,Undirected,Bill Foster,1
Hank Pym,Undirected,Sonny Burch,1
Hank Pym,Undirected,Ghost ,1
Maggie,Undirected,Bill Foster,1
Maggie,Undirected,Sonny Burch,1
Maggie,Undirected,Ghost ,1
The Wasp ,Undirected,Bill Foster,1
The Wasp ,Undirected,Sonny Burch,1
The Wasp ,Undirected,Ghost ,1
Luis,Undirected,Bill Foster,1
Luis,Undirected,Sonny Burch,1
Luis,Undirected,Ghost ,1
Cassie Lang,Undirected,Bill Foster,1
Cassie Lang,Undirected,Sonny Burch,1
Cassie Lang,Undirected,Ghost ,1
Dave,Undirected,Bill Foster,1
Dave,Undirected,Sonny Burch,1
Dave,Undirected,Ghost ,1
Bill Foster,Undirected,Sonny Burch,1
Bill Foster,Undirected,Ghost ,1
Sonny Burch,Undirected,Ghost ,1
Iron Man ,Undirected,Agent Peggy Carter,1
Iron Man ,Undirected,Ulysses Klaue,1
Iron Man ,Undirected,Laura Barton,1
Nick Fury,Undirected,Ulysses Klaue,1
Nick Fury,Undirected,Laura Barton,1
Vision ,Undirected,Agent Peggy Carter,1
Vision ,Undirected,Ulysses Klaue,1
Vision ,Undirected,Laura Barton,1
Captain America ,Undirected,Ulysses Klaue,1
Captain America ,Undirected,Laura Barton,1
Thor,Undirected,Agent Peggy Carter,1
Thor,Undirected,Ulysses Klaue,1
Thor,Undirected,Laura Barton,1
Black Widow ,Undirected,Ulysses Klaue,1
Black Widow ,Undirected,Laura Barton,1
War Machine ,Undirected,Agent Peggy Carter,1
War Machine ,Undirected,Dr. Erik Selvig,1
War Machine ,Undirected,Ulysses Klaue,1
War Machine ,Undirected,Laura Barton,1
Heimdall,Undirected,Agent Peggy Carter,1
Heimdall,Undirected,Ulysses Klaue,1
Heimdall,Undirected,Laura Barton,1
The Hulk ,Undirected,Agent Peggy Carter,1
The Hulk ,Undirected,Ulysses Klaue,1
The Hulk ,Undirected,Laura Barton,1
Agent Peggy Carter,Undirected,Dr. Erik Selvig,1
Agent Peggy Carter,Undirected,Hawkeye ,1
Agent Peggy Carter,Undirected,Thanos,1
Agent Peggy Carter,Undirected,Scarlet Witch ,1
Agent Peggy Carter,Undirected,Ulysses Klaue,1
Agent Peggy Carter,Undirected,Laura Barton,1
Falcon ,Undirected,Dr. Erik Selvig,1
Falcon ,Undirected,Ulysses Klaue,1
Falcon ,Undirected,Laura Barton,1
Dr. Erik Selvig,Undirected,Thanos,1
Dr. Erik Selvig,Undirected,Scarlet Witch ,1
Dr. Erik Selvig,Undirected,Ulysses Klaue,1
Dr. Erik Selvig,Undirected,Laura Barton,1
Hawkeye ,Undirected,Ulysses Klaue,1
Hawkeye ,Undirected,Laura Barton,1
Agent Maria Hill,Undirected,Ulysses Klaue,1
Agent Maria Hill,Undirected,Laura Barton,1
Thanos,Undirected,Ulysses Klaue,1
Thanos,Undirected,Laura Barton,1
Scarlet Witch ,Undirected,Ulysses Klaue,1
Scarlet Witch ,Undirected,Laura Barton,1
Ulysses Klaue,Undirected,Laura Barton,1
Nick Fury,Undirected,Crossbones ,1
Nick Fury,Undirected,Agent 13 ,1
Captain America ,Undirected,Senator Stern,1
Black Widow ,Undirected,Arnim Zola,1
The Winter Soldier ,Undirected,Senator Stern,1
Agent Peggy Carter,Undirected,Crossbones ,1
Agent Peggy Carter,Undirected,Senator Stern,1
Agent Peggy Carter,Undirected,Agent 13 ,1
Falcon ,Undirected,Arnim Zola,1
Falcon ,Undirected,Senator Stern,1
Agent Maria Hill,Undirected,Crossbones ,1
Agent Maria Hill,Undirected,Arnim Zola,1
Agent Maria Hill,Undirected,Senator Stern,1
Agent Maria Hill,Undirected,Agent 13 ,1
Crossbones ,Undirected,Arnim Zola,1
Crossbones ,Undirected,Senator Stern,1
Arnim Zola,Undirected,Senator Stern,1
Arnim Zola,Undirected,Agent 13 ,1
Senator Stern,Undirected,Agent 13 ,1
